time,skill,queue,dialing,acw,loginin,free,leave,yuzhan
08:07:48,7020,0,1,0,3,0,3,0
08:07:53,7062,0,0,0,0,0,0,0
08:07:53,7020,0,1,0,3,0,3,0
08:07:58,7062,0,0,0,0,0,0,0
08:07:58,7020,0,1,0,3,0,3,0
08:08:03,7062,0,0,0,0,0,0,0
08:08:03,7020,0,1,0,3,0,3,0
08:08:08,7062,0,0,0,0,0,0,0
08:08:08,7020,0,1,0,3,0,3,0
08:08:13,7062,0,0,0,0,0,0,0
08:08:13,7020,0,1,0,3,0,3,0
08:08:18,7062,0,0,0,0,0,0,0
08:08:18,7020,0,1,0,3,0,3,0
08:08:23,7062,0,0,0,0,0,0,0
08:08:23,7020,0,1,0,3,0,3,0
08:08:28,7062,0,0,0,0,0,0,0
08:08:28,7020,0,1,0,3,0,3,0
08:08:33,7062,0,0,0,0,0,0,0
08:08:33,7020,0,1,0,3,0,3,0
08:08:38,7062,0,0,0,0,0,0,0
08:08:38,7020,0,1,0,3,0,3,0
08:08:43,7062,0,0,0,0,0,0,0
08:08:43,7020,0,1,0,3,0,3,0
08:08:48,7062,0,0,0,0,0,0,0
08:08:48,7020,0,1,0,3,0,3,0
08:08:53,7062,0,0,0,0,0,0,0
08:08:53,7020,0,1,0,3,0,3,0
08:08:58,7062,0,0,0,0,0,0,0
08:08:58,7020,0,1,0,3,0,3,0
08:09:03,7062,0,0,0,0,0,0,0
08:09:03,7020,0,1,0,3,0,3,0
08:09:08,7062,0,0,0,0,0,0,0
08:09:08,7020,0,1,0,3,0,3,0
08:09:13,7062,0,0,0,0,0,0,0
08:09:13,7020,0,0,0,3,0,3,0
08:09:18,7062,0,0,0,0,0,0,0
08:09:18,7020,0,0,0,3,0,3,0
08:09:23,7062,0,0,0,0,0,0,0
08:09:23,7020,0,0,0,3,0,3,0
08:09:28,7062,0,0,0,0,0,0,0
08:09:28,7020,0,0,0,3,0,3,0
08:09:33,7062,0,0,0,0,0,0,0
08:09:33,7020,0,0,0,3,0,3,0
08:09:38,7062,0,0,0,0,0,0,0
08:09:38,7020,0,0,0,3,0,3,0
08:09:43,7062,0,0,0,0,0,0,0
08:09:43,7020,0,0,0,3,0,3,0
08:09:48,7062,0,0,0,0,0,0,0
08:09:48,7020,0,0,0,3,0,3,0
08:09:53,7062,0,0,0,0,0,0,0
08:09:53,7020,0,0,0,3,0,3,0
08:09:58,7062,0,0,0,0,0,0,0
08:09:58,7020,0,0,0,3,0,3,0
08:10:03,7062,0,0,0,0,0,0,0
08:10:03,7020,0,0,0,3,0,3,0
08:10:08,7062,0,0,0,0,0,0,0
08:10:08,7020,0,0,0,3,0,3,0
08:10:13,7062,0,0,0,0,0,0,0
08:10:13,7020,0,0,0,3,0,3,0
08:10:18,7062,0,0,0,0,0,0,0
08:10:18,7020,0,0,0,3,0,3,0
08:10:23,7062,0,0,0,0,0,0,0
08:10:23,7020,0,0,0,3,0,3,0
08:10:28,7062,0,0,0,0,0,0,0
08:10:28,7020,0,0,0,3,0,3,0
08:10:33,7062,0,0,0,0,0,0,0
08:10:33,7020,0,0,0,3,0,3,0
08:10:38,7062,0,0,0,0,0,0,0
08:10:38,7020,0,0,0,3,0,3,0
08:10:43,7062,0,0,0,0,0,0,0
08:10:43,7020,0,1,0,3,0,3,0
08:10:48,7062,0,0,0,0,0,0,0
08:10:48,7020,0,1,0,4,0,4,0
